Città,Nome progetto 1,Nome proggetto 2,Ambito progetto 1,Costo progetto 1,Tipo di investimento 1,N. Utenti progetto 1,Produttore progetto 1,Attivo / Non attivo progetto 1,Descrizione Progetto 1,Ambito progetto 2,Costo progetto 2,Tipo di investimento 2,N. Utenti progetto 2,Produttore progetto 2,Attivo / Non attivo progetto 2,Descrizione progetto 2
Aalborg,Intelligent Waste Management,Digital Health Solutions,Smart_Environment,€45.000.000,Breve termine (2 anni),941.050,City of Aalborg,Sperimentale,"Utilizza l'IA per ottimizzare la gestione dei rifiuti, migliorando il riciclo e riducendo gli sprechi.",Smart_People,€90.000.000,Lungo termine (10 anni),514.760,Aalborg University,Attivo,"Soluzioni digitali per la salute che utilizzano AI per diagnosi, monitoraggio e gestione sanitaria."
Aarhus,Smart Waste Sorting,AI-Optimized Urban Planning,Smart_Environment,€80.000.000,Breve termine (2 anni),423.480,Aarhus Municipality,Sperimentale,Sistema con sensori intelligenti per separare automaticamente i materiali riciclabili.,Smart_Government,€100.000.000,Breve termine (2 anni),398.125,Aarhus University,Attivo,Pianificazione urbana ottimizzata dall'AI per una crescita sostenibile e intelligente delle città.
Amsterdam,Amsterdam Smart City Platform,"Smart Grid Technology
",Smart_Government,€ 1.000.000,Lungo termine (10 anni),546.407,"
Universiteit van Amsterdam",Attivo,Piattaforma IoT per la gestione intelligente dei servizi urbani ad Amsterdam.,Smart_Environment,€ 300.000.000,Lungo termine (10 anni),759.408,Alliander,Non attivo,Tecnologia smart grid per migliorare la distribuzione e l'efficienza dell'energia elettrica.
Bergen,Regenerative City Plan for Bergen,"Smart Care
",Smart_Environment,€ 120.000.000,Breve termine (2 anni),271.649,TREDJE NATUR,Sperimentale,Piano per la rigenerazione urbana sostenibile con tecnologie verdi a Bergen.,Smart_People,€ 95.600.000,Breve termine (2 anni),235.962,Bergen Municipality System,Attivo,Servizi sanitari intelligenti con AI per migliorare l'accesso e la qualità della cura.
Berlin,AI-Powered Smart Traffic,Digital Citizen Services,Smart_Mobility,€120.000.000,Medio termine (5 anni),742.766,Berlin IOTD,Attivo,Sistema IA che analizza i dati in tempo reale per migliorare la fluidità del traffico.,Smart_Government,€200.000.000,Breve termine (2 anni),349.993,TU Berlin,Sperimentale,Servizi digitali per cittadini per una gestione efficiente della burocrazia e dei servizi pubblici.
Boston,AI-Powered Traffic Lights,Green Building Initiative,Smart_Mobility,€90.000.000,Lungo termine (10 anni),619.661,Boston DOT,Sperimentale,Semafori intelligenti che si adattano al flusso di traffico in tempo reale.,Smart_Environment,€140.000.000,Breve termine (2 anni),570.701,Boston Green Initiative,Attivo,Iniziativa per edifici sostenibili con materiali ecologici e tecnologie a basso impatto.
Chicago,Smart Traffic Control,AI-Based Waste Management,Smart_Mobility,€150.000.000,Medio termine (5 anni),240.920,Chicago Smarthub ,Attivo,Tecnologia per coordinare segnali stradali e migliorare la mobilità urbana.,Smart_Environment,€180.000.000,Medio termine (5 anni),969.368,Waste Management Inc.,Sperimentale,"Gestione dei rifiuti con AI per ottimizzare la raccolta, il riciclo e la riduzione degli sprechi."
Copenhagen,Copenhagen Intelligent Traffic Management,Green Energy Transition Hub        ,Smart_Mobility        ,€55.000.000,Lungo termine (10 anni),942.274,Københavns Kommune,Sperimentale,Gestione dinamica del traffico a Copenhagen tramite IA e sensori.,Smart_Energy	,€ 210.000.000,Breve termine (2 anni),586.169,Ørsted,Attivo,Hub per la transizione verso energie rinnovabili con soluzioni innovative e sostenibili.
Dubai,Autonomous Transport System,AI-Powered Green City,Smart_Mobility,€700.000.000,Lungo termine (10 anni),348.885,RTA Dubai,Non attivo,Trasporto pubblico autonomo con analisi dati per ottimizzare i percorsi.,Smart_Environment,€800.000.000,Medio termine (5 anni),585.995,Dubai Municipality,Non attivo,Città verdi ottimizzate con AI per ridurre emissioni e migliorare la qualità della vita.
Düsseldorf,AI-Powered Public Transport,Digital Citizen Services,Smart_Mobility,€80.000.000,Breve termine (2 anni),591.355,Rheinbahn AG,Attivo,"IA per migliorare l'efficienza, l'affidabilità e la puntualità dei trasporti pubblici.",Smart_Government,€150.000.000,Lungo termine (10 anni),12.640,City of Düsseldorf,Sperimentale,Piattaforma digitale per servizi al cittadino per una governance più accessibile e trasparente.
Geneva,Smart Public Transport,Digital Water Management,Smart_Mobility,€90.000.000,Breve termine (2 anni),786.405,Transports Publics Genevois,Attivo,Sistemi digitali per il tracciamento e la programmazione dei trasporti pubblici.,Smart_Environment,€120.000.000,Lungo termine (10 anni),426.411,Geneva Water Authority,Sperimentale,Gestione intelligente delle risorse idriche per ridurre sprechi e migliorare la distribuzione.
Hamburg,Smart Port Hamburg,AI-Powered Green Energy,Smart_Industry,€250.000.000,Lungo termine (10 anni),550.230,Hamburg Port Authority,Attivo,Gestione digitale e automatizzata delle operazioni portuali ad Amburgo.,Smart_Energy,€300.000.000,Breve termine (2 anni),141.941,Vattenfall,Non attivo,"AI per ottimizzare la produzione, distribuzione e consumo di energia rinnovabile."
Helsingborg,Smart Waste Collection,Renewable Energy Optimization,Smart_Environment,€70.000.000,Lungo termine (10 anni),550.247,City of Helsingborg,Attivo,Ottimizzazione della raccolta rifiuti con sensori e percorsi dinamici.,Smart_Energy,€90.000.000,Breve termine (2 anni),650.573,Öresundskraft,Sperimentale,Tecnologie per migliorare l'efficienza delle energie rinnovabili e la loro integrazione.
Helsinki,Digital Public Transport,Smart Waste Collection,Smart_Mobility,€70.000.000,Breve termine (2 anni),383.556,HSL,Attivo,Piattaforma integrata per biglietteria mobile e tracciamento in tempo reale.,Smart_Environment,€130.000.000,Lungo termine (10 anni),430.290,Helsinki Smart Waste,Sperimentale,Sistema intelligente per la raccolta e smaltimento dei rifiuti urbani in modo sostenibile.
Los Angeles,Smart Traffic Control,AI-Based Water Management,Smart_Mobility,€180.000.000,Medio termine (5 anni),384.265,LA DOT,Attivo,Sistema intelligente che riduce la congestione e migliora il flusso stradale.,Smart_Environment,€250.000.000,Lungo termine (10 anni),864.024,LA Water & Power,Non attivo,AI per monitorare e ottimizzare la gestione delle risorse idriche nelle città.
Luxembourg,Autonomous Bus Network,AI-Based Green Spaces,Smart_Mobility,€70.000.000,Medio termine (5 anni),602.651,Luxembourg Transport,Attivo,Rete di autobus a guida autonoma per un trasporto pubblico più efficiente.,Smart_Environment,€90.000.000,Medio termine (5 anni),933.187,City of Luxembourg,Sperimentale,Uso dell'AI per creare e gestire spazi verdi urbani per migliorare la sostenibilità.
Lyon,AI-Driven Traffic Lights,Green Urban Planning,Smart_Mobility,€110.000.000,Lungo termine (10 anni),653.709,Métropole,Attivo,Semafori controllati dall'IA per ridurre i tempi di attesa ai crocevia.,Smart_Environment,€160.000.000,Lungo termine (10 anni),20.372,Grand Lyon,Sperimentale,Pianificazione verde urbana per ridurre inquinamento e migliorare la qualità dell'aria.
Madrid,AI-Based Traffic Control,Renewable Energy Expansion,Smart_Mobility,€350.000.000,Lungo termine (10 anni),224.949,AiTransport,Attivo,Tecnologia IA per monitorare e ottimizzare il traffico urbano.,Smart_Energy,€400.000.000,Breve termine (2 anni),976.786,Iberdrola,Sperimentale,Espansione delle energie rinnovabili per ridurre la dipendenza dalle fonti fossili.
Melbourne,Smart Grid Integration,AI-Powered Waste Management,Smart_Energy,€220.000.000,Lungo termine (10 anni),966.405,Melbourne Energy,Non attivo,Integrazione delle energie rinnovabili nelle reti intelligenti urbane.,Smart_Environment,€250.000.000,Breve termine (2 anni),422.677,City of Melbourne,Non attivo,AI per migliorare la gestione dei rifiuti e ottimizzare i processi di smaltimento.
Montreal,AI-Driven Traffic Optimization,Smart Waste Management,Smart_Mobility,€45.000.000,Breve termine (2 anni),607.618,City of Montreal,Sperimentale,Algoritmi IA per migliorare la gestione del traffico in tempo reale.,Smart_Environment,€120.000.000,Medio termine (5 anni),540.636,Veolia,Attivo,Tecnologie smart per una gestione più efficiente e sostenibile dei rifiuti urbani.
Munich,Digital Traffic Management,AI-Driven Public Safety,Smart_Mobility,€200.000.000,Breve termine (2 anni),931.744,City of Munich,Attivo,Piattaforma digitale per il monitoraggio e la gestione del traffico urbano.,Smart_Government,€220.000.000,Breve termine (2 anni),815.021,LMU Munich,Sperimentale,"Sistemi AI per la sicurezza pubblica, prevenzione e gestione delle emergenze."
New York,Smart Grid New York,AI-Powered Policing,Smart_Energy,€300.000.000,Breve termine (2 anni),150.873,Con Edison,Non attivo,Sistema energetico intelligente che ottimizza la distribuzione dell'energia.,Smart_Government,€400.000.000,Lungo termine (10 anni),585.707,NYPD,Sperimentale,"Uso di AI per il monitoraggio, prevenzione e gestione della sicurezza urbana."
Odense,Green Urban Logistics,Intelligent Water Management,Smart_Mobility,€20.000.000,Lungo termine (10 anni),496.526,Odense Municipality,Sperimentale,Soluzioni logistiche sostenibili per ridurre le emissioni urbane.,Smart_Environment,€95.000.000,Lungo termine (10 anni),710.701,VandCenter Syd,Attivo,Gestione intelligente delle risorse idriche per garantire un uso efficiente dell'acqua.
Oslo,Smarter Transport in the Oslo Region (STOR) - Automated Vehicles in Public Transport Services,FutureBuilt - Climate-Friendly Urban Development,Smart_Mobility,€ 48.000.000,Medio termine (5 anni),441.815,Ruter,Sperimentale,Veicoli autonomi per il trasporto pubblico a Oslo.,Smart_Environment,€ 118.000.000,Medio termine (5 anni),756.579,Grønlikaia,Attivo,Progetto per lo sviluppo urbano a impatto climatico ridotto e soluzioni sostenibili.
Ottawa,Smart Traffic Management,AI-Powered Public Safety,Smart_Mobility,€55.000.000,Lungo termine (10 anni),181.661,Ottawa Transportation,Attivo,Pianificazione avanzata della mobilità urbana con strumenti digitali.,Smart_Government,€120.000.000,Lungo termine (10 anni),169.825,Ottawa Smart City,Sperimentale,AI per la sicurezza pubblica attraverso analisi dati e sistemi di sorveglianza avanzati.
Paris,AI-Driven Smart Traffic,Digital Citizen Engagement,Smart_Mobility,€300.000.000,Medio termine (5 anni),94.566,Ville de Paris,Attivo,IA per adattare in tempo reale le condizioni del traffico cittadino.,Smart_Government,€400.000.000,Breve termine (2 anni),119.592,Paris Digital Initiative,Sperimentale,Strumenti digitali per coinvolgere i cittadini nei processi decisionali e amministrativi.
Philadelphia,Smart Streetlights,AI-Based Public Security,Smart_Environment,€140.000.000,Breve termine (2 anni),474.707,City of Philadelphia,Attivo,Illuminazione pubblica intelligente che riduce il consumo energetico.,Smart_Government,€180.000.000,Medio termine (5 anni),15.429,University of Pennsylvania,Sperimentale,Uso di AI per garantire sicurezza pubblica con monitoraggio e analisi predittiva.
Reykjavik,Smart Heating Grid,AI-Based Sustainable Mobility,Smart_Energy,€100.000.000,Breve termine (2 anni),491.702,Reykjavik Energy,Non attivo,Ottimizzazione della distribuzione di calore con tecnologie intelligenti.,Smart_Mobility,€120.000.000,Lungo termine (10 anni),66.114,City of Reykjavik,Sperimentale,AI per migliorare la mobilità sostenibile con trasporti ecologici ed efficienti.
San Francisco,AI-Optimized Traffic Flow,Renewable Energy Storage,Smart_Mobility,€250.000.000,Medio termine (5 anni),148.816,SFMTA,Attivo,IA per regolare continuamente i tempi dei semafori e migliorare la mobilità.,Smart_Energy,€320.000.000,Lungo termine (10 anni),756.395,PG&E,Sperimentale,Sistemi di accumulo per migliorare la gestione e l'utilizzo delle energie rinnovabili.
Singapore,Autonomous Public Transit,Smart Grid for Sustainable Living,Smart_Mobility,€200.000.000,Medio termine (5 anni),177.412,Land Transport Authority,Attivo,Sistemi di trasporto pubblico autonomi con IA per migliorare i servizi.,Smart_Energy,€500.000.000,Medio termine (5 anni),351.845,SP Group,Attivo,Smart grid per migliorare la distribuzione energetica e l'uso delle rinnovabili.
Stavanger,Smart Port Stavanger,Renewable Energy Optimization,Smart_Industry,€90.000.000,Medio termine (5 anni),411.656,Port of Stavanger,Attivo,Gestione digitalizzata delle operazioni portuali per migliorare l'efficienza.,Smart_Energy,€160.000.000,Breve termine (2 anni),374.398,Lyse Energy,Sperimentale,Ottimizzazione delle energie rinnovabili per migliorare la sostenibilità e l'efficienza.
Stockholm,Smart Public Transport System,Sustainable Urban Energy Grid,Smart_Mobility,€60.000.000,Lungo termine (10 anni),457.980,SL (Storstockholms Lokaltrafik),Attivo,Sistema integrato per il monitoraggio e la gestione del trasporto pubblico.,Smart_Energy,€250.000.000,Medio termine (5 anni),838.012,Vattenfall,Sperimentale,Griglia energetica urbana sostenibile per ridurre sprechi e migliorare l’efficienza.
Sydney,Smart Urban Planning,AI-Based Public Safety,Smart_Environment,€190.000.000,Breve termine (2 anni),414.853,City of Sydney,Attivo,Utilizzo di dati e IA per sviluppare città sostenibili e più vivibili.,Smart_Government,€250.000.000,Breve termine (2 anni),798.805,NSW Government,Non attivo,Tecnologie AI per migliorare la sicurezza pubblica e ridurre i rischi urbani.
Taipei,Intelligent Transport System,Smart Grid Development,Smart_Mobility,€90.000.000,Breve termine (2 anni),494.942,Taipei DOT,Attivo,Soluzioni tecnologiche per migliorare la sicurezza e la fluidità del traffico.,Smart_Energy,€200.000.000,Breve termine (2 anni),907.681,Taiwan Power Company,Non attivo,Sviluppo di smart grid per un'energia più efficiente e una rete sostenibile.
