Città,Nome progetto 1,Nome proggetto 2,Ambito progetto 1,Costo progetto 1,N. Utenti progetto 1,Produttore progetto 1,Attivo / Non attivo progetto 1,Sito progetto 1,Ambito progetto 2,Costo progetto 2,N. Utenti progetto 2,Produttore progetto 2,Attivo / Non attivo progetto 2,Sito progetto 2
Aalborg,Intelligent Waste Management,Digital Health Solutions,Smart_Environment,45000000,,City of Aalborg,Sperimentale,,Smart_People,90000000,,Aalborg University,Attivo,
Aarhus,Smart Waste Sorting,AI-Optimized Urban Planning,Smart_Environment,80000000,,Aarhus Municipality,Sperimentale,,Smart_Government,100000000,,Aarhus University,Attivo,
Abu Dhabi,,,,,,,,,,,,,,
Adelaide,,,,,,,,,,,,,,
Amsterdam,Amsterdam Smart City Platform,"Smart Grid Technology
",Smart_Government,1000000,,"
Universiteit van Amsterdam",Attivo,,Smart_Environment,300000000,,Alliander,Non attivo,
Ancona,,,,,,,,,,,,,,
Auckland,,,,,,,,,,,,,,
Barcelona,,,,,,,,,,,,,,
Bari,,,,,,,,,,,,,,
Bayreuth,,,,,,,,,,,,,,
Beijing,,,,,,,,,,,,,,
Bergen,Regenerative City Plan for Bergen,"Smart Care
",Smart_Environment,120000000,,TREDJE NATUR,Sperimentale,,Smart_People,95600000,,Bergen Municipality System,Attivo,
Berlin,AI-Powered Smart Traffic,Digital Citizen Services,Smart_Mobility,120000000,,Berlin IOTD,Attivo,,Smart_Government,200000000,,TU Berlin,Sperimentale,
Birmingham,,,,,,,,,,,,,,
Bochum,,,,,,,,,,,,,,
Bordeaux,,,,,,,,,,,,,,
Boston,AI-Powered Traffic Lights,Green Building Initiative,Smart_Mobility,90000000,,Boston DOT,Sperimentale,,Smart_Environment,140000000,,Boston Green Initiative,Attivo,
Bratislava,,,,,,,,,,,,,,
Brussels,,,,,,,,,,,,,,
Budapest,,,,,,,,,,,,,,
Calgary,,,,,,,,,,,,,,
Catania,,,,,,,,,,,,,,
Chicago,Smart Traffic Control,AI-Based Waste Management,Smart_Mobility,150000000,,Chicago Smarthub ,Attivo,,Smart_Environment,180000000,,Waste Management Inc.,Sperimentale,
Cologne,,,,,,,,,,,,,,
Copenhagen,Copenhagen Intelligent Traffic Management,Green Energy Transition Hub        ,Smart_Mobility        ,55000000,,Københavns Kommune,Sperimentale,,Smart_Energy,,210000000,,Ørsted,Attivo
Daejeon,,,,,,,,,,,,,,
Dubai,Autonomous Transport System,AI-Powered Green City,Smart_Mobility,700000000,,RTA Dubai,Non attivo,,Smart_Environment,800000000,,Dubai Municipality,Non attivo,
Dublin,,,,,,,,,,,,,,
Düsseldorf,AI-Powered Public Transport,Digital Citizen Services,Smart_Mobility,80000000,,Rheinbahn AG,Attivo,,Smart_Government,150000000,,City of Düsseldorf,Sperimentale,
Edmonton,,,,,,,,,,,,,,
Florence,,,,,,,,,,,,,,
Geneva,Smart Public Transport,Digital Water Management,Smart_Mobility,90000000,,Transports Publics Genevois,Attivo,,Smart_Environment,120000000,,Geneva Water Authority,Sperimentale,
Hamburg,Smart Port Hamburg,AI-Powered Green Energy,Smart_Industry,250000000,,Hamburg Port Authority,Attivo,,Smart_Energy,300000000,,Vattenfall,Non attivo,
Hämeenlinna,,,,,,,,,,,,,,
Helsingborg,Smart Waste Collection,Renewable Energy Optimization,Smart_Environment,70000000,,City of Helsingborg,Attivo,,Smart_Energy,90000000,,Öresundskraft,Sperimentale,
Helsinki,Digital Public Transport,Smart Waste Collection,Smart_Mobility,70000000,,HSL,Attivo,,Smart_Environment,130000000,,Helsinki Smart Waste,Sperimentale,
Hong Kong,,,,,,,,,,,,,,
Jyväskylä,,,,,,,,,,,,,,
Kuala Lumpur,,,,,,,,,,,,,,
Lahti,,,,,,,,,,,,,,
Leeds,,,,,,,,,,,,,,
Lisbon,,,,,,,,,,,,,,
Ljubljana,,,,,,,,,,,,,,
London,,,,,,,,,,,,,,
Los Angeles,Smart Traffic Control,AI-Based Water Management,Smart_Mobility,180000000,,LA DOT,Attivo,,Smart_Environment,250000000,,LA Water & Power,Non attivo,
Luxembourg,Autonomous Bus Network,AI-Based Green Spaces,Smart_Mobility,70000000,,Luxembourg Transport,Attivo,,Smart_Environment,90000000,,City of Luxembourg,Sperimentale,
Lyon,AI-Driven Traffic Lights,Green Urban Planning,Smart_Mobility,110000000,,Métropole,Attivo,,Smart_Environment,160000000,,Grand Lyon,Sperimentale,
Madrid,AI-Based Traffic Control,Renewable Energy Expansion,Smart_Mobility,350000000,,AiTransport,Attivo,,Smart_Energy,400000000,,Iberdrola,Sperimentale,
Marseille,,,,,,,,,,,,,,
Melbourne,Smart Grid Integration,AI-Powered Waste Management,Smart_Energy,220000000,,Melbourne Energy,Non attivo,,Smart_Environment,250000000,,City of Melbourne,Non attivo,
Milan,,,,,,,,,,,,,,
Montreal,AI-Driven Traffic Optimization,Smart Waste Management,Smart_Mobility,45000000,,City of Montreal,Sperimentale,,Smart_Environment,120000000,,Veolia,Attivo,
Moscow,,,,,,,,,,,,,,
Munich,Digital Traffic Management,AI-Driven Public Safety,Smart_Mobility,200000000,,City of Munich,Attivo,,Smart_Government,220000000,,LMU Munich,Sperimentale,
Nantes,,,,,,,,,,,,,,
Naples,,,,,,,,,,,,,,
New York,Smart Grid New York,AI-Powered Policing,Smart_Energy,300000000,,Con Edison,Non attivo,,Smart_Government,400000000,,NYPD,Sperimentale,
Nice,,,,,,,,,,,,,,
Odense,Green Urban Logistics,Intelligent Water Management,Smart_Mobility,20000000,,Odense Municipality,Sperimentale,,Smart_Environment,95000000,,VandCenter Syd,Attivo,
Osaka,,,,,,,,,,,,,,
Oslo,Smarter Transport in the Oslo Region (STOR) - Automated Vehicles in Public Transport Services,FutureBuilt - Climate-Friendly Urban Development,Smart_Mobility,48000000,,Ruter,Sperimentale,,Smart_Environment,118000000,,Grønlikaia,Attivo,
Ottawa,Smart Traffic Management,AI-Powered Public Safety,Smart_Mobility,55000000,,Ottawa Transportation,Attivo,,Smart_Government,120000000,,Ottawa Smart City,Sperimentale,
